Product,Ratings,Review,Price,M.R.P,Discount,Description
ASUS Vivobook S14 (2025)(i5 14th Gen) with Office 2024 + M365 Basic* Backlit Keyboard Intel Core 5 210...,4.4,96 Ratings & 6 Reviews,"₹62,990","₹65,990",4% off,"Intel Core 5 Processor16 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD35.56 cm (14 Inch) DisplayMicrosoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year1 Year Onsite Warranty"
DELL 15 (Previously Inspiron) (2025) Microsoft Office Home 2024 AMD Ryzen 5 Hexa Core 7530U - (16 GB/5...,4.3,"3,464 Ratings & 234 Reviews","₹52,990","₹69,695",23% off,AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home 2024 | Dell Support Assist1 Year Onsite Warranty
Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,4.4,"19,456 Ratings & 1,816 Reviews","₹55,311","₹78,189",29% off,Intel Core i5 Processor (13th Gen)8 GB LPDDR4X RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
ASUS Chromebook CX14 Intel Celeron Dual Core N50 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1405CTA-S6062...,3.8,349 Ratings & 35 Reviews,"₹16,990","₹22,990",26% off,Intel Celeron Dual Core Processor4 GB LPDDR5 RAMChrome Operating System35.56 cm (14 inch) DisplayMyASUS1 Year Onsite Warranty
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,3.8,"9,762 Ratings & 827 Reviews","₹35,200","₹44,999",21% off,Intel Celeron Dual Core Processor8 GB DDR4 RAM64 bit Windows 11 Home Operating System256 GB SSD29.46 cm (11.6 Inch) Display1 Year Warranty
ASUS Expertbook P1 with 1 Yr ADP(i3 14th Gen) Intel Core 3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 1...,4.3,"6,436 Ratings & 513 Reviews","₹42,990","₹69,990",38% off,"Intel Core 3 Processor (13th Gen)8 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD35.56 cm (14 Inch) DisplayIncluded Software- Microsoft Office Home 2024(includes Word, Excel, PowerPoint, and OneNote) (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee+TM Premium (1 year Validity)1 Year Onsite Warranty"
HP 15 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0576TU / 15-fd0467TU Thin...,4.2,"1,651 Ratings & 84 Reviews","₹59,990","₹65,387",8% off,Intel Core i5 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office H&S Edition 20241 Year Carry-in Warranty
HP Victus(i5 14th Gen) Intel Core 5 210H - (24 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,4.8,5 Ratings & 0 Reviews,"₹79,990","₹1,47,674",45% off,Intel Core 5 Processor24 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMS Office Home 2024 + MISC PC Game Pass DA 3M1 Year Onsite Service
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,4.3,"1,733 Ratings & 112 Reviews","₹46,990","₹66,999",29% off,Intel Core i5 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Carry-in Warranty
"ASUS Vivobook S16 OLED (2025) with Backlit Keyboard, Metal Body*, Snapdragon X - (16 GB/512 GB SSD/Win...",4.5,"1,317 Ratings & 108 Reviews","₹69,990","₹98,990",29% off,"Snapdragon X Processor16 GB LPDDR5X RAMWindows 11 Home Operating System512 GB SSD40.64 cm (16 Inch) DisplayMicrosoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps1 Year Onsite Warranty"
HP Omnibook 3 with Backlit Keyboard AMD Ryzen AI 5 Quad Core - (24 GB/1 TB SSD/Windows 11 Home) 15-fn0...,4.3,16 Ratings & 1 Reviews,"₹66,990","₹83,567",19% off,AMD Ryzen AI 5 Quad Core Processor24 GB DDR5 RAMWindows 11 Operating System1 TB SSD39.62 cm (15.6 inch) DisplayMS Office Home 2024 + MISC PC Game Pass DA 3M1 Year Onsite Service
HP AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) 15-fc0156AU / 15-fc0690AU Thin and...,4.2,498 Ratings & 30 Reviews,"₹54,990","₹56,831",3% off,AMD Ryzen 5 Quad Core Processor16 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty
ASUS TUF Gaming A15 (2026) AMD Ryzen 7 170 - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...,4.6,56 Ratings & 10 Reviews,"₹70,990","₹84,990",16% off,AMD Ryzen 7 Processor16 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMcAfee 1 year1 Year Onsite Service
Acer Aspire 7(i5 14th Gen) Intel Core 5 210H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA ...,N/A,N/A,"₹74,990","₹1,29,990",42% off,Intel Core 5 Processor16 GB DDR4 RAM64 bit Windows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Service
Lenovo IdeaPad Slim 3 AMD Ryzen 7 Octa Core 8840H Office 2024 and Backlit Keyboard AMD Ryzen 7 Octa Co...,4.4,130 Ratings & 12 Reviews,"₹84,490","₹94,890",10% off,AMD Ryzen 7 Octa Core Processor24 GB DDR5 RAMWindows 11 Home Operating System1 TB SSD38.86 cm (15.3 Inch) DisplayOffice Home 20241 Year Onsite Warranty
"ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Snapdragon X - (16 GB/512 GB...",4.4,637 Ratings & 59 Reviews,"₹58,990","₹1,22,990",52% off,"Snapdragon X Processor16 GB LPDDR5X RAMWindows 11 Home Operating System512 GB SSD35.56 cm (14 Inch) DisplayMicrosoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps1 Year Onsite Warranty"
HP 14 AI PC Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home) 14-ep1152TU Thin and Light Lapt...,4.1,652 Ratings & 55 Reviews,"₹83,990","₹1,33,748",37% off,Intel Core Ultra 7 Processor16 GB DDR5 RAMWindows 11 Home Operating System1 TB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty
HP 15 (i5 14th Gen) Intel Core 5 120U - (24 GB/512 GB SSD/Windows 11 Home) 15-fd0262TU Thin and Light ...,4.2,137 Ratings & 8 Reviews,"₹74,990","₹1,32,489",43% off,Intel Core 5 Processor24 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office Home 2024 (Lifetime Validity ) + Microsoft 365(1-Year Validity)1 Year Onsite Service
"ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...",4.3,"3,115 Ratings & 191 Reviews","₹48,990","₹50,990",3% off,"Intel Core i3 Processor (13th Gen)8 GB DDR4 RAMWindows 11 Home Operating System512 GB SSD35.56 cm (14 Inch) DisplayMicrosoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year1 Year Onsite Warranty"
ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic* Intel Core i3 13th Gen - (16 GB/512 GB SSD/Wind...,4.3,"1,296 Ratings & 83 Reviews","₹46,990","₹54,990",14% off,Intel Core i3 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home 2024 + Microsoft 365 Basic1 Year Onsite Warranty
HP 14 AI PC Intel Core Ultra 7 155H - (24 GB/1 TB SSD/Windows 11 Home) 14-ep1181TU Thin and Light Lapt...,4.1,652 Ratings & 55 Reviews,"₹87,990","₹1,38,782",36% off,Intel Core Ultra 7 Processor24 GB DDR5 RAMWindows 11 Home Operating System1 TB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 / 15ALC6...,4.2,"7,241 Ratings & 585 Reviews","₹33,990","₹58,390",41% off,AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home & Student 20211 Year Onsite Warranty
Samsung Galaxy Book5 AI Metal Intel Core Ultra 5 225U - (16 GB/512 GB SSD/Windows 11 Home) NP750XHD Th...,4.6,795 Ratings & 103 Reviews,"₹76,951","₹99,990",23% off,Intel Core Ultra 5 Processor16 GB LPDDR5X RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMS Office Home and Student 20241 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
Samsung Galaxy Book4 Edge Series Copilot AI-PC Full Metal Chasis Snapdragon X - (16 GB/512 GB SSD/Wind...,4.4,"3,268 Ratings & 336 Reviews","₹67,320","₹92,390",27% off,Snapdragon X Processor16 GB LPDDR5X RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMS Office Home and Student 20241 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
"ASUS Vivobook S14 Flip (2025) with Touch Screen, Metallic Design, Intel Core i5 13th Gen 13420H - (16 ...",4.4,"1,182 Ratings & 97 Reviews","₹66,990","₹86,990",22% off,"Intel Core i5 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Home Operating System512 GB SSD35.56 cm (14 Inch) Touchscreen DisplayMicrosoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year1 Year Onsite Warranty"
Acer Aspire Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) AL15-52H Thin and Light...,4.1,"2,484 Ratings & 215 Reviews","₹56,990","₹59,990",5% off,Intel Core i5 Processor (12th Gen)16 GB LPDDR5 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Carry-in Warranty
ASUS Chromebook CX14 Intel Celeron Dual Core N50 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1405CTA-S6062...,3.8,349 Ratings & 35 Reviews,"₹16,990","₹22,990",26% off,Intel Celeron Dual Core Processor4 GB LPDDR5 RAMChrome Operating System35.56 cm (14 inch) DisplayMyASUS1 Year Onsite Warranty
MOTOROLA Motobook 60 Pro Full Metal AI PC 2.8K OLED Intel Core Ultra 5 225H - (16 GB/512 GB SSD/Window...,4.4,"1,113 Ratings & 152 Reviews","₹71,990","₹1,04,990",31% off,The BIS model moto book 60 14IAH10 refers to moto book 60 proIntel Core Ultra 5 Processor16 GB DDR5 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 inch) DisplayOffice Home & Student 20241 Year Onsite Warranty
HP Victus AI AMD Ryzen 7 Octa Core 260 - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,4.5,599 Ratings & 53 Reviews,"₹1,14,990","₹1,26,014",8% off,AMD Ryzen 7 Octa Core Processor24 GB DDR5 RAMWindows 11 Home Operating System1 TB SSD39.62 cm (15.6 Inch) DisplayMS Office Home 2024 + MISC PC Game Pass DA 3M1 Year Onsite Warranty
Lenovo Chromebook Duet 11M889 MediaTek MediaTek Kompanio 838 - (8 GB/128 GB EMMC Storage/Chrome OS) 11...,4.2,"1,573 Ratings & 135 Reviews","₹29,990","₹37,690",20% off,MediaTek MediaTek Kompanio 838 Processor8 GB LPDDR4X RAMChrome Operating System27.81 cm (10.95 inch) Touchscreen Display1 Year Onsite Warranty
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 H...",4.3,"3,115 Ratings & 191 Reviews","₹51,990","₹54,990",5% off,Intel Core i3 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home 2024 + Microsoft 365 Basic1 Year Onsite Warranty
MSI Modern 15 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO Thin a...,4.3,299 Ratings & 19 Reviews,"₹54,990","₹60,990",9% off,Intel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty
Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,4.4,"19,456 Ratings & 1,816 Reviews","₹55,311","₹78,189",29% off,Intel Core i5 Processor (13th Gen)8 GB LPDDR4X RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
Samsung Galaxy Book4 Edge Series Copilot AI-PC Full Metal Chasis Snapdragon X - (16 GB/512 GB SSD/Wind...,4.4,"3,268 Ratings & 336 Reviews","₹67,320","₹92,390",27% off,Snapdragon X Processor16 GB LPDDR5X RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMS Office Home and Student 20241 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
Acer Aspire AMD Ryzen 5 Hexa Core 7430U - (16 GB/1 TB SSD/Windows 11 Home) AS15-42 Thin and Light Lapt...,4.2,"4,097 Ratings & 381 Reviews","₹56,990","₹59,990",5% off,AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAM64 bit Windows 11 Home Operating System1 TB SSD39.62 cm (15.6 Inch) Display1 Year Warranty
DELL 14 Next Gen AI PC Microsoft Office Home 2024 Intel Core Ultra 5 226V - (16 GB/512 GB SSD/Windows ...,4.4,63 Ratings & 6 Reviews,"₹90,990","₹1,02,656",11% off,Intel Core Ultra 5 Processor16 GB LPDDR5X RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Touchscreen DisplayMicrosoft Office Home 2024 | Dell Support Assist1 Year Onsite Warranty
"ASUS Zenbook A14 OLED (2025), MSO 2024 + M365 Basic, Metal Body, Backlit Keyboard, Snapdragon X - (16 ...",3.8,30 Ratings & 2 Reviews,"₹81,990","₹1,22,990",33% off,"Snapdragon X Processor16 GB LPDDR5X RAMWindows 11 Home Operating System512 GB SSD35.56 cm (14 Inch) DisplayMicrosoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee 1 year1 Year Onsite Warranty"
HP 15 (i5 14th Gen) Intel Core 5 120U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0665TU / 15-fd0640TU /...,4.2,137 Ratings & 8 Reviews,"₹54,990","₹69,629",21% off,Intel Core 5 Processor16 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMS Office Home 2024 + MISC PC Game Pass DA 3M1 Year Onsite Warranty
DELL Inspiron 5440 (2026) (i3 14th Gen) Intel Core 3 14th Gen 100U - (8 GB/512 GB SSD/Windows 11 Home)...,4.2,97 Ratings & 11 Reviews,"₹45,400","₹75,000",39% off,"Intel Core 3 Processor (14th Gen)8 GB DDR5 RAM64 bit Windows 11 Home Operating System512 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office 2021, Windows 11 Home1 Year Warranty"
HP 15 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0576TU / 15-fd0467TU Thin...,4.2,"1,651 Ratings & 84 Reviews","₹63,846","₹65,387",2% off,Intel Core i5 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office H&S Edition 20241 Year Carry-in Warranty
DELL 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop,4.4,61 Ratings & 3 Reviews,"₹45,837","₹49,534",7% off,"AMD Ryzen 5 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMy Dell (Dell Power Manager,Dell Support Assist)1 Year Onsite Hardware Service"
ASUS Chromebook CX14 Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1405CKA-NK0...,3.9,585 Ratings & 45 Reviews,"₹16,990","₹21,990",22% off,Intel Celeron Dual Core Processor4 GB LPDDR4X RAMChrome Operating System35.56 cm (14 Inch) DisplayMyASUS1 Year Onsite Warranty
DELL 15 (Previously Inspiron) (2026) AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) ...,4.3,"3,464 Ratings & 234 Reviews","₹61,990","₹76,478",18% off,AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD38.1 cm (15 Inch) Display1 Year Onsite Warranty
ASUS Expertbook P1 with 1 Yr ADP(i3 14th Gen) Intel Core 3 13th Gen 1315U - (16 GB/512 GB SSD/Windows ...,4.3,"6,436 Ratings & 513 Reviews","₹44,990","₹74,990",40% off,"Intel Core 3 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD35.56 cm (14 Inch) DisplayIncluded Software- Microsoft Office Home 2024(includes Word, Excel, PowerPoint, and OneNote) (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee+TM Premium (1 year Validity)1 Year Onsite Warranty"
ASUS Vivobook Go 14 (2026) with Office 2024 + M365 Basic AMD Ryzen 3 Quad Core 30 - (8 GB/512 GB SSD/W...,4.3,"2,248 Ratings & 149 Reviews","₹52,890","₹72,990",27% off,"AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Home Operating System512 GB SSD35.56 cm (14 inch) DisplayMSO 2024 for lifetime + Microsoft 365 Basic with 100GB Cloud Storage for 1 Year, One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year1 Year Onsite Warranty"
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,3.8,"9,762 Ratings & 827 Reviews","₹28,990","₹49,990",42% off,Intel Celeron Dual Core Processor8 GB DDR4 RAM64 bit Windows 11 Home Operating System256 GB SSD29.46 cm (11.6 Inch) Display1 Year Warranty
Lenovo IdeaPad Slim 3 Next Gen AI PC WUXGA IPS Copilot + PC with 1Yr ADP Snapdragon X - (16 GB/512 GB ...,4.4,"1,117 Ratings & 101 Reviews","₹57,990","₹88,390",34% off,Snapdragon X Processor16 GB LPDDR5X RAMWindows 11 Home Operating System512 GB SSD38.86 cm (15.3 Inch) DisplayOffice Home 20241 Year Onsite Warranty
HP 14 AI PC Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home) 14-ep1152TU Thin and Light Lapt...,4.1,652 Ratings & 55 Reviews,"₹83,990","₹1,33,748",37% off,Intel Core Ultra 7 Processor16 GB DDR5 RAMWindows 11 Home Operating System1 TB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty
"ASUS Vivobook S14 (2025) with Office 2024 + M365 Basic*, AI PC, Backlit Keyboard, Intel Core Ultra 5 2...",4.5,99 Ratings & 12 Reviews,"₹76,990","₹1,47,990",47% off,"Intel Core Ultra 5 Processor16 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD35.56 cm (14 Inch) DisplayMicrosoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year1 Year Onsite Warranty"
DELL PRO 15 (2026) DDR5 5600Mhz (i3 14th Gen) Intel Core 3 14th Gen 100U - (8 GB/512 GB SSD/Windows 11...,3.8,32 Ratings & 3 Reviews,"₹46,099","₹64,191",28% off,"Intel Core 3 Processor (14th Gen)8 GB DDR5 RAM64 bit Windows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office 2021, Windows 11 Home1 Year"
DELL Inspiron 15 (Core i3 14th Gen) Intel Core 3 100U - (8 GB/512 GB SSD/Windows 11 Home) DC15250 Thin...,4.3,178 Ratings & 12 Reviews,"₹48,990","₹62,500",21% off,Intel Core 3 Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD38.1 cm (15 Inch) Display1 Year Onsite Warranty
Acer Aspire Lite AMD Ryzen 3 Quad Core 5300U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Lig...,4.1,"1,610 Ratings & 112 Reviews","₹47,936","₹58,990",18% off,AMD Ryzen 3 Quad Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Carry-in Warranty
MOTOROLA Motobook 60 Pro Full Metal AI PC 2.8K OLED Intel Core Ultra 5 225H - (16 GB/512 GB SSD/Window...,4.4,"1,113 Ratings & 152 Reviews","₹71,990","₹1,04,990",31% off,The BIS model moto book 60 14IAH10 refers to moto book 60 proIntel Core Ultra 5 Processor16 GB DDR5 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 inch) DisplayOffice Home & Student 20241 Year Onsite Warranty
ASUS Chromebook CX14 Intel Celeron Dual Core N50 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1405CTA-S6062...,3.8,349 Ratings & 35 Reviews,"₹16,990","₹22,990",26% off,Intel Celeron Dual Core Processor4 GB LPDDR5 RAMChrome Operating System35.56 cm (14 inch) DisplayMyASUS1 Year Onsite Warranty
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...",4.2,"8,896 Ratings & 493 Reviews","₹43,990","₹66,990",34% off,Intel Core i5 Processor (12th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty
HP 15 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0500AU / 15-fc0154AU...,4.2,"3,547 Ratings & 255 Reviews","₹44,783",N/A,N/A,AMD Ryzen 3 Quad Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty
Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,4.4,"19,456 Ratings & 1,816 Reviews","₹55,311","₹78,189",29% off,Intel Core i5 Processor (13th Gen)8 GB LPDDR4X RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
Samsung Galaxy Book4 Edge Series Copilot AI-PC Full Metal Chasis Snapdragon X - (16 GB/512 GB SSD/Wind...,4.4,"3,268 Ratings & 336 Reviews","₹67,320","₹92,390",27% off,Snapdragon X Processor16 GB LPDDR5X RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMS Office Home and Student 20241 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
HP Victus Intel Core i5 14th Gen 14450HX - (24 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFo...,4.3,539 Ratings & 36 Reviews,"₹1,03,990","₹1,81,237",42% off,Intel Core i5 Processor (14th Gen)24 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMSO Home 2024 + 1yr M365 Basic & MISC PC Game Pass DA 3M1 Year Onsite Warranty
"ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core Ultra 5 225H - (1...",4.4,439 Ratings & 47 Reviews,"₹72,990","₹81,990",10% off,"Intel Core Ultra 5 Processor16 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD35.56 cm (14 Inch) DisplayMicrosoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year1 Year Onsite Warranty"
ASUS ExpertBook P1 (i7 14th Gen) with 1 Yr ADP Intel Core 7 240H - (32 GB/512 GB SSD/Windows 11 Home) ...,4.6,35 Ratings & 6 Reviews,"₹84,990","₹1,29,990",34% off,Intel Core 7 Processor32 GB DDR5 RAM64 bit Windows 11 Home Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Limited Warranty
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,3.8,"9,762 Ratings & 827 Reviews","₹34,640","₹42,990",19% off,Intel Celeron Dual Core Processor8 GB DDR4 RAM64 bit Windows 11 Home Operating System128 GB SSD29.46 cm (11.6 Inch) Display1 Year Warranty
MOTOROLA Motobook 60 Pro Full Metal AI PC 2.8K OLED Intel Core Ultra 5 225H - (16 GB/512 GB SSD/Window...,4.4,"1,113 Ratings & 152 Reviews","₹71,990","₹1,04,990",31% off,The BIS model moto book 60 14IAH10 refers to moto book 60 proIntel Core Ultra 5 Processor16 GB DDR5 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 inch) DisplayOffice Home & Student 20241 Year Onsite Warranty
DELL 15 (Previously Inspiron) (2026) AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) ...,4.3,"3,464 Ratings & 234 Reviews","₹61,990","₹76,478",18% off,AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD38.1 cm (15 Inch) Display1 Year Onsite Warranty
"ASUS Vivobook 15 (2025) with Touchscreen & Backlit Keyboard, Intel Core i3 13th Gen 1315U - (8 GB/512 ...",4.3,285 Ratings & 25 Reviews,"₹42,990","₹51,990",17% off,"Intel Core i3 Processor (13th Gen)8 GB DDR4 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 Inch) Touchscreen DisplayMicrosoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year1 Year Onsite Warranty"
MSI Modern 14 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) 14 C7M-283IN / 14 C7M-4...,4.4,336 Ratings & 25 Reviews,"₹48,990","₹66,990",26% off,AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) DisplayMicrosoft Office Home & Student 2021 included1 Year Carry-in Warranty
HP 15 (i5 14th Gen) Intel Core 5 120U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0665TU / 15-fd0640TU /...,4.2,137 Ratings & 8 Reviews,"₹54,990","₹69,629",21% off,Intel Core 5 Processor16 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMS Office Home 2024 + MISC PC Game Pass DA 3M1 Year Onsite Warranty
